Row,test,total_changed_90,description_length,total_methods,total_token,total_added_lines,dmm_unit_interfacing,TokenDensity,GunningFog,LexicalDiversity
OpenStack_47,3,0,0,1471,35,59,0.685586214,48.05646101,144.4705882,6.019035533
OpenStack_2705,0,2,1,0,0,0,0,5.567727273,22,7.195833333
OpenStack_6411,0,14,0,0,0,5,0,8.412418684,37.68,6.330864198
OpenStack_7172,0,15,0,2322,94,3,0.22594634,10.56323481,41.42857143,6.326633166
OpenStack_2150,1,176,0,7179,236,5,0,7.358669599,31.47058824,7.221311475
OpenStack_3068,0,54,0,18423,557,2,0,6.481532726,25.05882353,7.533632287
OpenStack_4955,2,119,0,18181,430,35,2.095348226,22.61359594,76.30434783,5.923076923
OpenStack_7452,0,12,0,0,0,5,0,8.932798834,32.66666667,6.444444444
OpenStack_2569,0,4,0,308,0,1,0,6.166348684,26.94736842,6.764705882
OpenStack_1054,0,4,1,0,0,0,0,5.718063479,20.68421053,6.950226244
OpenStack_3320,1,21,0,33440,668,1,1.160637625,14.30291231,57.52941176,6.382789318
OpenStack_3194,0,48,0,0,0,1,0,7.754666667,33.33333333,6.514388489
OpenStack_2938,3,195,1,53671,1449,175,3.496232773,55.80460631,171.2,6.097972973
OpenStack_288,0,29,4,2859,122,87,1.215156075,24.64175137,83.05882353,7.059405941
OpenStack_6244,0,4,2,0,0,0,0.043896764,19.90921631,68.02040816,5.465932553
OpenStack_5882,0,104,0,25624,881,36,0.434190401,5.422842541,27.95238095,7.11328125
OpenStack_4985,0,10,0,0,0,1,0.187893996,12.01891523,41.24,5.854961832
OpenStack_5082,0,37,0,9472,357,4,0,6.99390852,33.43478261,7.337662338
OpenStack_5491,4,15,0,3392,32,16,1.384501072,14.84809231,61.36,5.757918552
OpenStack_3429,0,5,0,448,24,4,0,7.02097432,27.58333333,6.949860724
OpenStack_6977,0,1,0,0,0,2,0,6.73559444,27.88235294,6.978070175
OpenStack_3352,0,41,0,7075,258,29,1.407275781,11.05903302,43.47619048,5.858310627
